neg,neu,pos,compound,text
0.088,0.742,0.17,0.6486,"Your manager kind of seems like a piece of shit, not as a manager in fact he's probably good to keep around for that reason. I just mean like he's probably the kind of person who would drop you and everything you're trying to do as soon as it tanks finnacally. ""One of those"" types of friends"
0.0,1.0,0.0,0.0,chatting whit blank
0.0,0.571,0.429,0.8684,I'm laughing because I know this is staged but cringe at the same time. Well done!! :D
0.0,1.0,0.0,0.0,Chatting with *a narcissist
0.044,0.691,0.265,0.9667,"Not charismatic, seems very calculating, flaunts at every given opportunity. Seems like a guy full of himself but loves to play the humble card. I mean how could you not love him? Empty compliments and flattery. How do you feel about me knowing so many YouTubers? Let me just text postmates, they’ll give you the credit! I have the connections, let me flaunt it abit more and ask you questions that lead you into me flaunting even more!  Sometime the sugar is to sweet."
0.0,0.667,0.333,0.3612,your manager looks like captain America 🐹
0.467,0.533,0.0,-0.7906,what the fuck is jordan everybody's manager what the fuck
0.0,1.0,0.0,0.0,Chatting with Ice Poseidon AND Sam Pepper!
0.474,0.526,0.0,-0.6597,Wtf is lahwf? We miss the old vedio
0.0,0.697,0.303,0.7269,"Hales, good job upping your videos to be about quality content and meaning. I enjoy your presence"
0.329,0.671,0.0,-0.6602,If you aren't comfortable at $20mm you probably won't be comfortable at $100mm
0.0,0.0,0.0,0.0,👌
0.0,0.652,0.348,0.8807,"i know you like when we recommend you songs, so check put my last youtube video. it’s my song i created. anyways, love these “chatting with” videos."
0.0,1.0,0.0,0.0,I bet he’s Jewish
0.141,0.522,0.337,0.5984,"Scorpio thru and thru. Smart as fuck, strategic, calculated, charming, quick wit, driven The most emotional, secretly."
0.0,1.0,0.0,0.0,JORDANNNN
0.0,0.676,0.324,0.34,Hey Jordan can I borrow your motivation?
0.0,0.531,0.469,0.6486,"I have the exact same watch like him, nice 😂"
0.0,1.0,0.0,0.0,chatting with my boyfriend..whoops..
0.0,0.848,0.152,0.3612,His manager seems like he's on coke or something. also kind of spineless and disingenuous.
0.0,1.0,0.0,0.0,I see you found a narc
0.0,1.0,0.0,0.0,DO A CHATTING WITH THEREPORTOFTHEWEEK
0.325,0.675,0.0,-0.3412,Not fond of this guys mask
0.0,1.0,0.0,0.0,Chatting with an animal rights advocate.
0.277,0.723,0.0,-0.3182,Chatting With Someone diagnosed with Psychogenic Stuttering
0.0,1.0,0.0,0.0,Chat with a pornstar.Just do it. Your manager was wearing a nike cap.
0.0,0.506,0.494,0.5994,lmao he's such a typical manager
0.0,0.897,0.103,0.3182,I'm just curious. It's the first in a year seeing Andrew. Has he given up pranks and just does interview stuff now ?
0.0,1.0,0.0,0.0,What is OT4Y OT4Y?
0.0,0.667,0.333,0.4576,"Half way through, this is fucking hilarious"
0.0,0.615,0.385,0.3612,Guy sounds like Miles Teller
0.539,0.461,0.0,-0.8014,I feel he is hiding so much shit. I don't like him
0.111,0.833,0.056,-0.34,"this is 101 how to get a narcissist on a youtube show for demonstration purposes. sadly, most people don't even get what andrew did there..."
0.0,1.0,0.0,0.0,Cx
0.0,1.0,0.0,0.0,Chatting with a twitch streamer ?
0.049,0.601,0.351,0.911,LMFAOOOO I love your guys’ chemistry and you both seem so genuine. Loved the part where you were talking about your awkwardness. I relate so much hahaha.
0.0,1.0,0.0,0.0,Chatting with a Junkie!
0.0,1.0,0.0,0.0,Pure psycho...
0.0,1.0,0.0,0.0,Do pranks again :)))))))))))))))))))))))))))))
0.0,1.0,0.0,0.0,Did you clap your managers cheeks after the video?
0.0,1.0,0.0,0.0,Gay?
0.0,0.335,0.665,0.8377,I love reactiontime Tal is so funny
0.0,1.0,0.0,0.0,Are u related to peter?
0.05,0.884,0.066,0.2144,"I don't think we all thought the awkwardness was an act, I think most of us would agree it was more so you putting yourself into a deliberately awkward situation, and the comedy not only came from the random persons reaction, but also your own, which set it apart from other peoples ""social experiments"""
0.0,1.0,0.0,0.0,DADDY JORDANNNNNN
0.0,1.0,0.0,0.0,Jordan should write a book...
0.0,1.0,0.0,0.0,Chatting with a Small Talk Coach
0.0,1.0,0.0,0.0,Get bill gates on
0.155,0.845,0.0,-0.4339,Idk what it is but I dont like this guy but at the same time am really intrigued by what he has to say
0.0,0.517,0.483,0.4215,Nice baseball cap bro
0.0,1.0,0.0,0.0,Do chatting with a cremator
0.0,1.0,0.0,0.0,Do Chatting with hodgetwins yeahhhhhhhhhhhhhhhhhhhhh!
0.0,1.0,0.0,0.0,Interview a psychopath that'd be dank
0.636,0.364,0.0,-0.5423,Fuck this guy
0.111,0.575,0.314,0.829,"Too many moments in this video to timestamp and say, ""Yo this shit was tooooo funny,"" - amazing interview and amazing people. Keep up the great work!"
0.0,1.0,0.0,0.0,I used to feel that way about you before I knew you 😂
0.0,1.0,0.0,0.0,Chatting with me
0.0,1.0,0.0,0.0,Checked out Reaction time for 10 seconds.
0.0,1.0,0.0,0.0,They prob boned after this
0.0,0.0,1.0,0.4588,Cute
0.0,1.0,0.0,0.0,think he’s bald?
0.0,0.0,1.0,0.4588,:)
0.0,1.0,0.0,0.0,Next Chatting with THE PRISEDENT
0.0,1.0,0.0,0.0,When is Andrews birthday?
0.0,0.737,0.263,0.3612,Jordan seems like literally the coolest guy ever
0.0,1.0,0.0,0.0,Chatting with a mute person
0.0,0.818,0.182,0.3485,"""You really are the most charismatic person I know"" Chatting with a Narcissist??? ;)"
0.0,1.0,0.0,0.0,Chatting with Lionel Messi and Cristiano Ronaldo
0.066,0.721,0.213,0.7272,"I absolutely hated the video, but I'm very open-minded so I decided to stick around, and when I found out that you guys wear 11.5 shoes (like myself) I got a tingly feeling. Thank you Andrew Hames.Edit: funny stuff"
0.0,0.51,0.49,0.8271,i fuckin love this guy lmfao he digs at u fucking deep
0.122,0.743,0.135,-0.1531,I want to hear him talk more about what he thinks you need to do. You should post an extended version because this is interesting shit.
0.0,0.545,0.455,0.9545,this was the best chatting with ever. i feel like he is a super good manager at giving you insight on how to grow as a youtuber. i like this guy a lot
0.0,0.517,0.483,0.4215,he’s everyone’s manager lol
0.196,0.804,0.0,-0.296,"sales/ recruiting etc. are bottom feeders, they have no skills"
0.0,0.728,0.272,0.6808,I thought this definitely got off to a good start when he didnt even know his managers last name
0.0,1.0,0.0,0.0,Chatting with a sociopath.
0.0,1.0,0.0,0.0,Chatting with a sword swallower
0.0,0.667,0.333,0.3612,"""It's like a daily conversation for us""""Okay"""
0.0,0.597,0.403,0.4019,I wish this video was longer
0.0,1.0,0.0,0.0,Chatting with Yanet a.k.a. The Booty Clapping Queen
0.0,1.0,0.0,0.0,Yesss chatting with the hodgetwins. They come out to Irvine and the brayer improv all the time. Yeyaaaaa
0.0,0.545,0.455,0.6124,He sounds like Shia LaBeouf. Like his voice.
0.0,1.0,0.0,0.0,Chat with a tight pussy
0.0,0.663,0.337,0.2584,"likable guy, cant deny it"
0.0,0.615,0.385,0.3612,Dude seems like a total tool
0.0,1.0,0.0,0.0,chatting with hollywood ENTP
0.455,0.545,0.0,-0.3612,this guy sucks tbh
